M90,4569,Deep Sky Object,Galaxy,41M,9.6 x 4.4,10.3,12.6133,13.1667,Vir,
M91,4548,Deep Sky Object,Galaxy,41M,5.4 x 4.3,11.1,12.5917,14.5,Com,
M92,6341,Deep Sky Object,Globular Cluster,36000,8.3,6.1,17.285,43.15,Her,
M93,2447,Deep Sky Object,Open Cluster,3580,25,6,7.7417,-23.8667,Pup,
M94,4736,Deep Sky Object,Galaxy,14M,11.2 x 9.1,9,12.8483,41.1333,CVn,
M95,3351,Deep Sky Object,Galaxy,29M,7.4 x 5.0,10.7,10.7317,11.7,Leo,
M96,3368,Deep Sky Object,Galaxy,29M,7.5 x 5.2,9.9,10.7783,11.8167,Leo,
M97,3587,Deep Sky Object,Planetary Nebula,7460,3.2 x 3.2,12,11.2483,55.0333,UMa,Owl nebula
M98,4192,Deep Sky Object,Galaxy,36M,8.4 x 1.9,10.7,12.23,14.9,Com,
M99,4254,Deep Sky Object,Galaxy,41M,4.6 x 3.9,10.1,12.3133,14.4167,Com,
M100,4321,Deep Sky Object,Galaxy,41M,5.3 x 4.5,10.6,12.3817,15.8167,Com,
M101,5457,Deep Sky Object,Galaxy,22.5M,28.8 x 26.9,8.3,14.0533,54.35,UMa,Pinwheel nebula
M102,5866,Deep Sky Object,Galaxy,32M,2.8 x 1,10.8,14.085,55.95,Dra,
M103,581,Deep Sky Object,Open Cluster,3740,5,7.4,1.5533,60.7,Cas,
M104,4594,Deep Sky Object,Galaxy,65.2M,8.7 x 3.5,8.7,12.6667,-11.6167,Vir,Sombrero nebula
M105,3379,Deep Sky Object,Galaxy,29M,5.3 x 4.7,10.1,10.7967,12.5833,Leo,
M106,4258,Deep Sky Object,Galaxy,21M,19.5 x 7,8.6,12.3167,47.3,CVn,
M107,6171,Deep Sky Object,Globular Cluster,56000,2.2,9.2,16.5417,-13.05,Oph,
M108,3556,Deep Sky Object,Galaxy,23M,8.7 x 2.3,10.7,11.1933,55.6833,UMa,
M109,3992,Deep Sky Object,Galaxy,41M,6.2 x 3.5,10.8,11.96,53.3667,UMa,
M110,205,Deep Sky Object,Galaxy,2.1M,10 x 4.5,9.4,0.6717,41.6833,And,
Sirius,32349,Star,,8.6,,-1.46,6.7525,-16.7161, CMa, 9Alpha 
Canopus,30438,Star,,312.6,,-0.72,6.3992,-52.6958, Car, Alpha 
Arcturus,69673,Star,,36.7,,-0.04,14.261,19.1825, Boo, 16Alpha 
Rigil Kentaurus,71683,Star,,4.4,,-0.01,14.66,-60.8353, Cen, Alpha1
Vega,91262,Star,,25.3,,0.03,18.6156,38.7836, Lyr, 3Alpha 
Capella,24608,Star,,42.2,,0.08,5.2782,45.9981, Aur, 13Alpha 
Rigel,24436,Star,,772.5,,0.12,5.2423,-8.2017, Ori, 19Beta 
Procyon,37279,Star,,11.4,,0.38,7.655,5.225, CMi, 10Alpha 
Achernar,7588,Star,,143.7,,0.46,1.6286,-57.2367, Eri, Alpha
Betelgeuse,27989,Star,,427.3,,0.5,5.9195,7.4069, Ori, 58Alpha 
Hadar,68702,Star,,525,,0.61,14.0637,-60.3731, Cen, Beta 
Altair,97649,Star,,16.8,,0.77,19.8464,8.8683, Aql, 53Alpha 
Aldebaran,21421,Star,,65.1,,0.85,4.5987,16.5092, Tau, 87Alpha 
Antares,80763,Star,,603.7,,0.96,16.4901,-26.4319, Sco, 21Alpha 
Spica,65474,Star,,262.1,,0.98,13.4199,-11.1614, Vir, 67Alpha 
Pollux,37826,Star,,33.7,,1.14,7.7553,28.0261, Gem, 78Beta 
Fomalhaut,113368,Star,,25.1,,1.16,22.9609,-29.6222, PsA, 24Alpha 
Mimosa,62434,Star,,352.4,,1.25,12.7953,-59.6886, Cru, Beta 
Deneb,102098,Star,,3227.7,,1.25,20.6905,45.2803, Cyg, 50Alpha 
Acrux,60718,Star,,320.6,,1.33,12.4433,-63.0992, Cru, Alpha1
Regulus,49669,Star,,77.5,,1.35,10.1395,11.9672, Leo, 32Alpha 
Adhara,33579,Star,,430.6,,1.5,6.9771,-28.9722, CMa, 21Epsilon 
Gacrux,61084,Star,,87.9,,1.63,12.5194,-57.1133, Cru, Gama 
